x,y,th,z1,phi1,z2,phi2,z3,phi3,z4,phi4,z5,phi5,z6,phi6,z7,phi7,z8,phi8,z9,phi9,z10,phi10,z11,phi11
58,85,3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,23,0,29.41088234,0.310998281,34.40930107,0.620249486,55.21775077,0.952652101,56.92099788,1.249045772,84,1.570796327
58,85,-3.141592654,15,-1.570796327,15.8113883,-1.249045772,18.60107524,-0.938047492,25,-0.643501109,47.4341649,-0.321750554,23,0,29.41088234,0.310998281,34.40930107,0.620249486,55.21775077,0.952652101,56.92099788,1.249045772,84,1.570796327
58,85,-2.967059728,15.29705854,-1.547933692,17,-1.255371926,21.21320344,-0.959931089,33.54101966,-0.638180534,57.55866572,-0.313972982,28.44292531,0.002175931,31.76476035,0.317276251,34.6554469,0.631270569,50.08991915,0.941544127,NaN,NaN,10.19803903,1.593658961
58,85,-2.792526803,15.8113883,-1.598111623,18.60107524,-1.287113342,26.62705391,-0.947484744,53.16013544,-0.635117292,28.01785145,-0.313366738,29.73213749,-0.00604191,35.60898763,0.316903387,54.08326913,0.633727873,87.36131867,0.943430817,84.05355436,1.257429589,10.77032961,1.602236854
58,85,-2.617993878,17,-1.604437776,21.9317122,-1.276750057,36.24913792,-0.950226269,57.31491952,-0.628475714,28.63564213,-0.312505442,32.24903099,-0.004452661,33.9705755,0.303441967,49.24428901,0.628973222,NaN,NaN,10.19803903,1.244593111,11.66190379,1.587617051
58,85,-2.443460953,19.20937271,-1.594187085,27.45906044,-1.276033638,58.69412236,-0.938978156,28.0713377,-0.626824236,30.08321791,-0.323798085,36.23534186,-0.010460445,53,0.316065308,86.58521814,0.627685963,84.21401309,0.943972091,10.77032961,1.253171003,12.80624847,1.547405568
58,85,-2.268928028,22.6715681,-1.595643979,39,-1.267455746,57.14017851,-0.942725209,28.86173938,-0.627685963,32.75667871,-0.327009571,58.25804665,0.009986736,48.46648326,0.317625324,NaN,NaN,10.19803903,0.895527261,11.66190379,1.238551201,14.86606875,1.531112967
58,85,-2.094395102,29.15475947,-1.587617051,58.24946352,-1.254693778,28.16025568,-0.940461879,30.46309242,-0.642305765,36.79673899,-0.300241978,51.97114584,-0.000320572,85.90692638,0.312505442,84.48076704,0.630334448,10.77032961,0.904105153,13.45362405,1.256413877,19.72308292,1.562671035
58,85,-1.919862177,42.72001873,-1.580501147,57.03507693,-1.256803807,29.12043956,-0.943430817,33.83784863,-0.625531335,57.00877125,-0.311977318,51.26402247,-0.00970482,NaN,NaN,10.44030651,0.640522645,12.20655562,0.959791815,15.62049935,1.225123901,44.59820624,1.576838237
58,85,-1.745329252,57.87054518,-1.5699346,28.28427125,-1.254366347,30.87069808,-0.961593186,36.06937759,-0.630470569,51,-0.315424401,NaN,NaN,10.19803903,0.371928485,11.18033989,0.638180534,13.45362405,0.907348027,47.41307836,1.262815957,42.57933771,1.580180575
58,85,-1.570796327,23,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,55.21775077,-0.618144226,56.92099788,-0.321750554,84,0,10.44030651,0.291456794,12.20655562,0.610725964,16.40121947,0.915100701,44.27188724,1.249045772,42,1.570796327
58,85,-1.570796327,23,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,55.21775077,-0.618144226,56.92099788,-0.321750554,84,0,10.44030651,0.291456794,12.20655562,0.610725964,16.40121947,0.915100701,44.27188724,1.249045772,42,1.570796327
58,84,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,54.40588203,-0.628796286,56.92099788,-0.321750554,83,0,9.486832981,0.321750554,10.81665383,0.588002604,15,0.927295218,44.27188724,1.249045772,42,1.570796327
58,83,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,53.00943312,-0.624635423,83.16850365,-0.317948291,82,0,8.246211251,0.244978663,10,0.643501109,12.80624847,0.896055385,44.27188724,1.249045772,42,1.570796327
58,82,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,51.6139516,-0.620249486,83.16850365,-0.317948291,81,0,7.280109889,0.278299659,8.602325267,0.620249486,11.40175425,0.909753158,44.27188724,1.249045772,42,1.570796327
58,81,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,34.40930107,-0.950546841,50.80354318,-0.631690634,83.16850365,-0.317948291,80,0,6.32455532,0.321750554,7.211102551,0.588002604,10,0.927295218,18.02775638,1.231503712,42,1.570796327
58,80,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,33.60059523,-0.933247529,49.40647731,-0.627308192,83.16850365,-0.317948291,79,0,5.385164807,0.380506377,5.830951895,0.5404195,7.810249676,0.876058051,14.86606875,1.227772386,42,1.570796327
58,79,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,32.20248438,-0.939716939,48.01041554,-0.622670789,81.90848552,-0.310168061,78,0,61.98386887,0.311546827,5,0.643501109,6.403124237,0.896055385,11.70469991,1.222025323,42,1.570796327
58,78,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,30,-0.927295218,46.61544808,-0.617755726,80.95677859,-0.313938213,77,0,61.03277808,0.316569254,3.605551275,0.588002604,5,0.927295218,8.544003745,1.212025657,42,1.570796327
58,77,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,28.60069929,-0.934288111,45.80392996,-0.630401421,80.00624976,-0.317798006,76,0,59.77457654,0.305878871,2.828427125,0.785398163,2.828427125,0.785398163,5.385164807,1.19028995,42,1.570796327
58,76,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,28.01785145,-0.962994331,44.40720662,-0.62548504,78.74642849,-0.309702945,75,0,58.82176468,0.310998281,70.80254233,0.635026735,2.236067977,1.107148718,2.236067977,1.107148718,42,1.570796327
58,75,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,43.01162634,-0.620249486,77.79460136,-0.313620652,74,0,57.87054518,0.316286128,70.80254233,0.635026735,20.80865205,0.956133375,17.72004515,1.284744885,2,1.570796327
58,74,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,41.61730409,-0.614662952,76.84399781,-0.317635351,73,0,56.61271942,0.304992347,70.80254233,0.635026735,20.80865205,0.956133375,17.72004515,1.284744885,17,1.570796327
58,73,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,40.80441153,-0.628796286,75.58438992,-0.309198912,72,0,55.6596802,0.310387407,70.80254233,0.635026735,20.80865205,0.956133375,17.72004515,1.284744885,17,1.570796327
58,72,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,39.40812099,-0.62319933,74.63243263,-0.313276181,71,0,54.70831747,0.315970272,70.80254233,0.635026735,20.80865205,0.956133375,17.72004515,1.284744885,17,1.570796327
58,71,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,38.01315562,-0.617191392,73.68174808,-0.317458735,70,0,53.45091206,0.304000939,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,70,-1.570796327,28,-1.570796327,29.41088234,-1.259798046,70.21395873,-0.947235595,37.20215048,-0.632748835,72.42237223,-0.308650867,69,0,52.49761899,0.309702945,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,69,-1.570796327,28,-1.570796327,27.51363298,-1.237552026,70.21395873,-0.947235595,35.80502758,-0.626742901,71.47027354,-0.312901228,68,0,51.54609588,0.315615662,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,68,-1.570796327,28,-1.570796327,24.35159132,-1.236059489,47.20169488,-0.935769591,34.40930107,-0.620249486,70.51950085,-0.31726628,67,0,50.28916384,0.302884868,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,67,-1.570796327,28,-1.570796327,24.04163056,-1.27535549,45.80392996,-0.940394905,33.01514804,-0.613207349,69.26037828,-0.308052781,66,0,49.33558553,0.308930744,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,66,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,43.60045871,-0.931882342,32.20248438,-0.631079387,68.30812543,-0.31249156,65,0,48.38388161,0.3152147,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,65,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,42.20189569,-0.936773607,30.8058436,-0.624023053,67.35725648,-0.317055753,64,0,47.12748667,0.301619046,70.80254233,0.635026735,51.6139516,0.950546841,17.72004515,1.284744885,17,1.570796327
58,64,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,40.80441153,-0.94200004,30,-0.643501109,66.09841148,-0.307397473,63,0,46.17358552,0.308052781,70.80254233,0.635026735,51.6139516,0.950546841,44.27188724,1.249045772,17,1.570796327
58,63,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,38.60051813,-0.932476519,30,-0.643501109,65.1459899,-0.312042122,62,0,45.22167622,0.314757661,70.80254233,0.635026735,51.6139516,0.950546841,41.10960958,1.249045772,17,1.570796327
58,62,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,37.20215048,-0.938047492,30,-0.643501109,64.19501538,-0.316824486,61,0,44.27188724,0.321750554,70.80254233,0.635026735,51.6139516,0.950546841,37,1.240498972,17,1.570796327
58,61,-1.570796327,28,-1.570796327,59.77457654,-1.264917455,35,-0.927295218,30,-0.643501109,62.93647591,-0.306676319,60,0,43.01162634,0.307045732,70.80254233,0.635026735,51.6139516,0.950546841,33.83784863,1.23970025,17,1.570796327
58,60,-1.570796327,23,-1.570796327,59.77457654,-1.264917455,33.60059523,-0.933247529,30,-0.643501109,61.98386887,-0.311546827,59,0,42.05948169,0.314231899,70.80254233,0.635026735,51.6139516,0.950546841,33.52610923,1.267911458,17,1.570796327
58,59,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,32.20248438,-0.939716939,30,-0.643501109,61.03277808,-0.316569254,58,0,41.10960958,0.321750554,70.80254233,0.635026735,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,58,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,30,-0.927295218,30,-0.643501109,59.77457654,-0.305878871,57,0,39.84971769,0.305878871,46.61544808,0.617755726,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,57,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,28.60069929,-0.934288111,30,-0.643501109,58.82176468,-0.310998281,56,0,38.89730068,0.313620652,45.80392996,0.630401421,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,56,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,27.20294102,-0.94200004,30,-0.643501109,57.87054518,-0.316286128,55,0,37.94733192,0.321750554,44.40720662,0.62548504,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,55,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,25,-0.927295218,30,-0.643501109,56.92099788,-0.321750554,54,0,37,0.330297355,43.01162634,0.620249486,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,54,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,23.60084744,-0.935769591,30,-0.643501109,NaN,NaN,53,0,37,0.330297355,41.61730409,0.614662952,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,53,-1.570796327,57,-1.570796327,59.77457654,-1.264917455,22.20360331,-0.945311287,64.40496875,-0.631079387,NaN,NaN,52,0,37,0.330297355,40.80441153,0.628796286,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,52,-1.570796327,57,-1.570796327,37,-1.240498972,22.20360331,-0.945311287,63.00793601,-0.627629426,NaN,NaN,51,0,37,0.330297355,39.40812099,0.62319933,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,51,-1.570796327,57,-1.570796327,33.83784863,-1.23970025,22.20360331,-0.945311287,61.6116872,-0.624023053,NaN,NaN,50,0,37,0.330297355,38.01315562,0.617191392,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,50,-1.570796327,57,-1.570796327,30.6757233,-1.238736859,22.20360331,-0.945311287,60.21627687,-0.620249486,NaN,NaN,49,0,37,0.330297355,37.20215048,0.632748835,51.6139516,0.950546841,44.27188724,1.249045772,32,1.570796327
58,49,-1.570796327,57,-1.570796327,27.51363298,-1.237552026,22.20360331,-0.945311287,59.40538696,-0.63003391,NaN,NaN,48,0,50.28916384,0.302884868,35.80502758,0.626742901,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,48,-1.570796327,57,-1.570796327,24.35159132,-1.236059489,22.20360331,-0.945311287,58.00862005,-0.626261438,NaN,NaN,47,0,49.33558553,0.308930744,34.40930107,0.620249486,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,47,-1.570796327,57,-1.570796327,21.1896201,-1.234121507,22.20360331,-0.945311287,56.61271942,-0.622302871,NaN,NaN,46,0,48.38388161,0.3152147,33.01514804,0.613207349,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,46,-1.570796327,57,-1.570796327,18.97366596,-1.249045772,22.20360331,-0.945311287,44.40720662,-0.62548504,NaN,NaN,45,0,47.12748667,0.301619046,32.20248438,0.631079387,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,45,-1.570796327,57,-1.570796327,18.97366596,-1.249045772,22.20360331,-0.945311287,43.60045871,-0.638913985,NaN,NaN,44,0,46.17358552,0.308052781,30.8058436,0.624023053,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,44,-1.570796327,57,-1.570796327,18.97366596,-1.249045772,22.20360331,-0.945311287,43.60045871,-0.638913985,NaN,NaN,43,0,45.22167622,0.314757661,29.41088234,0.616296937,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
58,43,-1.570796327,57,-1.570796327,18.97366596,-1.249045772,22.20360331,-0.945311287,43.60045871,-0.638913985,NaN,NaN,42,0,44.27188724,0.321750554,28.01785145,0.607801996,51.6139516,0.950546841,44.27188724,1.249045772,42,1.570796327
